序号,产品品牌,产品名称（包含厂商、型号）,操作系统,芯片型号,编译系统,编译工具链
137.0,江西星驰电子科技有限公司,AOC,安卓9.0,Hi3751V352F,ubuntu 16.04,
138.0,飛生(上海)電子科技有限公司,AOC,Android,RK3576,Android Build System ,"NDK r15 https://developer.android.com/ndk/downloads,GCC 12.2"
139.0,瑞翼互通（深圳）智能技术有限公司,RichEast M6,RTOS,ASR3901,WIN10,DS-5
140.0,深圳市酷诺智能设备有限公司,NWO N6,RTOS,ASR3901,WIN10,DS-5
141.0,瑞翼互通(深圳)智能技术有限公司,RichEast M5,RTOS,ASR3901,WIN10,ARM DS-5 V5.26.2 (64-bit)
142.0,深圳市平静科技有限公司,Cleer ARC AIR 2开放式AI耳机,Qualcomm FreeRTOS,高通QCC3091,高通MDE,高通ADK_Toolkit（高通内部系统下载）
143.0,九川智能科技(东莞)有限公司,AI语伴BOX,ESP-IDF FreeRTOS,ESP32-S3-WROOM-1-N16R8,ESP-IDF v5.4.1,https://dl.espressif.cn/dl/esp-idf/
144.0,四川影目科技有限公司,INMO GO3,Threadx,w337,windows,闭源编译工具链(Arm compiler6.13)
145.0,温州颖联科技有限公司,颖联智信-AI护眼仪,FreeROTS,AC6951C8,code blocks,GUN GCC Compiler
146.0,郑州泰坦科技有限公司,音千束,Real-Time Operating System,7103D4,JLStudio,可视化配置工具安装包(2).exe
147.0,武汉慧联无限科技有限公司,聆犀,Zephyr RTOS,ATS3085S,Cygwin / Linux,GCC / MIPS-SDE
148.0,深圳熠邦实业有限公司,中献,"RTOS系统,自研， 深圳市爱都科技有限公司",JL7012F6,WINDOWS,https://pkgman.jieliapp.com/s/win-toolchain
149.0,杭州登虹科技有限公司,可梨-宠物喂食器,LINUX,AK3918AV130N,Ubuntu,anyka_uclibc_gcc.tar.bz2，备注：云云对接，无需提供
150.0,杭州登虹科技有限公司,可梨-宠物喂食器,LINUX,AK3918AV130N,Ubuntu,anyka_uclibc_gcc.tar.bz2，备注：云云对接，无需提供
151.0,杭州登虹科技有限公司,可梨-宠物喂食器,LINUX,AK3918AV130N,Ubuntu,anyka_uclibc_gcc.tar.bz2，备注：云云对接，无需提供
152.0,天津讯飞极智科技有限公司,AIR2453,基于安卓定制系统,,,
153.0,成都读写科技有限公司,XF-DX-T510E,基于安卓15的讯飞定制DUI6.0,MT 8189,,
154.0,咪鼠,咪鼠-A10 AI智能语音鼠标,windows / macos,B11，B12,windows,webpack、electron-builder
155.0,浙江天猫供应链管理有限公司,天猫精灵智能一体机（电脑显示一体机）,Android系统,MT8167S,安卓无需编译,安卓无需编译
156.0,创维,酷开,RTOS 海思 LiteOS,YH601S,Windows/Linux,"clang 链接:https://caiyun.139.com/w/i/2rJV7Nubj6ncx
提取码:efpf"
157.0,安徽咪鼠科技有限公司,咪鼠-咪鼠M5 AI鼠标,windows / macos,B11 ,windows、macos,webpack、electron-builder
158.0,安徽咪鼠科技有限公司,咪鼠-咪鼠P20 AI会议笔,windows / macos,B11 ,windows、macos,webpack、electron-builder
159.0,深圳跃然创新科技有限公司,HAIVIVI Pal / 迪迦奥特曼 AI 智能体,FreeRTOS (ESP-IDF 5.4.0),ESP32-S3,CMake,xtensa-esp32s3-elf-gcc (ESP-IDF工具链)
160.0,深圳跃然创新科技有限公司,HAIVIVI Pal / CocoMate,FreeRTOS (ESP-IDF 5.4.0),ESP32-S3,CMake,xtensa-esp32s3-elf-gcc (ESP-IDF工具链)
161.0,喜马拉雅,喜马拉雅跃动手表,RTOS,ASR3607,Windows 10,不支持
162.0,KUMI,KUMI AI Note录音卡,Zephyr,ATS3085S4,Windows/Linux,Cmake
163.0,酷碁,Acer,RT-Thread,AB5756C,codeblocks,无
164.0,深圳市康佳智通科技有限公司,康佳智能学习台灯KTL-X29Y,Linux,GK7201V300,Linux,GOKE-GK7202V300-liteos-arm-gcc7.3-rtos-musleabi.tar.gz
165.0,Leion Hey,Leion Hey 2（亮亮视野听语者2）,Freertos,BES2800,GCC,arm-none-eabi-gcc
166.0,深圳熠邦实业有限公司,中献,否,nRF52832,Keil,https://www.keil.com/
167.0,深圳市英得尔实业有限公司,魅米MEEMI-AI相机,Android,ASR8601,/,/
168.0,瑞翼互通（深圳）智能设备有限公司,RichEast M10,RTOS,ASR3602S,WIN10,DS-5
169.0,深圳市瑞翼通信设备有限公司,R67,RTOS,ASR3603S,WIN10,DS-5
170.0,汉王科技股份有限公司,汉王教育平板,安卓,8 核高性能处理器,Win11,gradle
171.0,深圳市香柚物联网有限公司,诺亚信智能视频学习护眼台灯L29,Linux,GK7201V300,Linux,GOKE-GK7202V300-liteos-arm-gcc7.3-rtos-musleabi.tar.gz
172.0,深圳汀灵智能科技有限公司,Mooni,THREADX,ASR3602C,Windows， ASR有自己的编译工具和SDK,ARM DS-5 V5.26.2，ActivePerl 5.28.1 Build 2801，msys2-x86_64-20190524
173.0,中山市佳维商贸有限公司,香山,无,CMS8H1205,无,无
174.0,上海喵帮科技有限公司,作业帮学习机,Android,MT8786,ubuntu,Android编译工具链
175.0,四川九州电子科技股份有限公司,九洲-智能戒指,PAR OS,PAR2860,WIN10,KEIL V5.2.6（https://www.keil.com/download/）
176.0,喜马拉雅,喜马拉雅 Ai耳机XMLY Air5,JL Smart 0s,JL7003D8,杰理专用交叉编译工具链(基于GCC),不支持
177.0,深圳市英得尔实业有限公司,魅米MEEMI-IND5,ThreadX,ASR3602,Windows系统msys2,ARM DS-5 V5.26.2 (64-bit)
178.0,深圳市英得尔实业有限公司,indell-IND2,ThreadX,ASR3602,Windows系统msys2,ARM DS-5 V5.26.2 (64-bit)
179.0,广州灵耀视界信息科技有限公司,时客玩-AI智拍机,安卓系统,ASR8601,,标准Android编译工具链即可
